datetime,league,home_team,away_team,goals,final_home,final_away,1h3,2h1,2h7,ko_market,ko_line,ko_over,ko_under,ht_market,ht_line,ht_over,ht_under
"03/08/2026 20:44","SABA ELITE FRIENDLY Virtual PES 21 - 5 Mins Play","Switzerland (V)","Denmark (V)",,0,0,OK,OK,,"FT. O/U",0.5,1.81,1.99,"FT. O/U",0.5,2.52,1.46
"03/08/2026 20:46","SABA CLUB FRIENDLY Virtual PES 21 - 15 Mins Play","Barcelona (V)","Lille OSC (V)",,0,0,OK,OK,OK,"FT. O/U",2.25,2.03,1.73,"FT. O/U",1,1.90,1.86
"03/08/2026 20:46","SABA ELITE FRIENDLY Virtual PES 21 - 5 Mins Play","Bayern Munchen (V)","Borussia Dortmund (V)","2H 1' (1-0)",1,0,OK,OK,,"FT. O/U",1.5,4.23,1.15,,,,
"03/08/2026 20:40","SABA CLUB FRIENDLY Virtual PES 21 - 15 Mins Play","Real Sociedad (V)","Tottenham Hotspur (V)","2H 7' (0-1)",0,1,OK,OK,OK,,,,,,,,
"03/08/2026 20:46","SABA CLUB FRIENDLY Virtual PES 21 - 15 Mins Play","Torino (V)","Udinese (V)","2H 0' (1-0)",1,0,OK,OK,OK,"FT. O/U",2,2.06,1.70,,,,
"03/08/2026 21:02","SABA INTERNATIONAL FRIENDLY Virtual PES 21 - 20 Mins Play","Japan (V)","Qatar (V)",,0,0,OK,OK,OK,"FT. O/U",2.5,1.99,1.77,"FT. O/U",1,1.70,2.06
"03/08/2026 20:47","SABA INTERNATIONAL FRIENDLY Virtual PES 21 - 20 Mins Play","Slovakia (V)","Turkey (V)","1H 1' (1-0) | 1H 4' (1-1) | 1H 6' (1-2) | 2H 1' (1-3)",1,3,OK,OK,OK,"FT. O/U",5,2.11,1.66,,,,
"03/08/2026 20:45","SABA INTERNATIONAL FRIENDLY Virtual FC 24 - 16 Mins Play","Ghana (V)","Netherlands (V)","1H 7' (1-0) | 2H 5' (1-1) | 2H 8' (2-1)",2,1,OK,OK,OK,,,,,,,,
"03/08/2026 21:01","SABA CLUB FRIENDLY Virtual PES 21 - 15 Mins Play","Atletico de Madrid (V)","Inter Milan (V)","2H 0' (0-1)",0,1,OK,OK,OK,"FT. O/U",2,1.81,1.95,,,,
"03/08/2026 21:01","SABA CLUB FRIENDLY Virtual PES 21 - 15 Mins Play","Juventus (V)","Arminia Bielefeld (V)","1H 2' (1-0) | 1H 3' (1-1) | 1H 7' (1-2)",1,2,OK,OK,OK,,,,,"FT. O/U",4.5,1.97,1.79
"03/08/2026 21:16","SABA VIETNAM V LEAGUE 1 Virtual PES 24 - 15 Mins Play","SHB Da Nang FC (V)","Cong An Ha Noi FC (V)",,0,0,OK,OK,OK,"FT. O/U",1.25,1.73,2.03,"FT. O/U",0.5,1.71,2.05
"03/08/2026 21:01","SABA CLUB FRIENDLY Virtual PES 21 - 15 Mins Play","Chelsea (V)","AS Monaco (V)","1H 2' (1-0) | 1H 6' (1-1) | 2H 2' (2-1)",2,1,OK,OK,OK,"FT. O/U",4,1.91,1.85,,,,
"03/08/2026 21:02","SABA INTERNATIONAL FRIENDLY Virtual PES 21 - 20 Mins Play","Romania (V)","Israel (V)","1H 5' (0-1) | 2H 0' (0-2)",0,2,OK,OK,OK,"FT. O/U",3,1.97,1.79,,,,
"03/08/2026 21:16","SABA CLUB FRIENDLY Virtual PES 21 - 15 Mins Play","FSV Mainz 05 (V)","Manchester United (V)","1H 2' (0-1) | 1H 4' (0-2)",0,2,OK,OK,OK,,,,,"FT. O/U",3.25,1.96,1.80
"03/08/2026 21:01","SABA CLUB FRIENDLY Virtual PES 21 - 15 Mins Play","AC Milan (V)","Borussia Dortmund (V)","2H 7' (1-0)",1,0,OK,OK,OK,,,,,,,,
"03/08/2026 21:01","SABA ENGLISH PREMIER LEAGUE Virtual PES 26 - 15 Mins Play","Nottingham Forest (V)","AFC Bournemouth (V)","1H 0' (1-0) | 1H 1' (1-1) | 2H 7' (2-1)",2,1,OK,OK,OK,,,,,,,,
"03/08/2026 21:16","SABA CLUB FRIENDLY Virtual PES 21 - 15 Mins Play","Valencia CF (V)","Real Sociedad (V)","1H 0' (1-0) | 1H 3' (1-1) | 1H 6' (1-2)",1,2,OK,OK,OK,,,,,"FT. O/U",4,1.84,1.92
"03/08/2026 21:21","SABA ELITE FRIENDLY Virtual PES 21 - 5 Mins Play","Boca Juniors (V)","CA River Plate (V)",,0,0,,,,,,,,"FT. O/U",0.5,2.19,1.64
"03/08/2026 21:06","SABA ELITE FRIENDLY Virtual PES 21 - 5 Mins Play","Brazil (V)","Argentina (V)",,0,0,,,,,,,,,,,
"03/08/2026 21:31","SABA CLUB FRIENDLY Virtual PES 21 - 15 Mins Play","Udinese (V)","Napoli (V)",,0,0,OK,OK,,"FT. O/U",2,1.87,1.89,"FT. O/U",1,1.81,1.95
