datetime,league,home_team,away_team,ht,final_home,final_away,goal_minutes,ou_ft,ou_1h,ht_market,ht_ou_ft,ht_ou_1h,ko_market,ko_ou_ft,ko_ou_1h,ko_score,goal_markets
01/08/2026 15:38,SABA CLUB FRIENDLY Virtual PES 21 - 15 Mins Play,AS Monaco (V),Olympique de Marseille (V),0-0,1,0,2H 2',o 1.5:5.00 | u 1.5:1.09,o 0.5:6.56 | u 0.5:1.02,FT. O/U,o 1:1.80 | u 1:1.96,,FT. O/U,o 1.75:1.84 | u 1.75:1.92,o 0.75:1.96 | u 0.75:1.80,0 - 0,2H 2' (1-0) FT. O/U+ o 1.75:1.72 | u 1.75:2.04
01/08/2026 15:39,SABA VIETNAM V LEAGUE 1 Virtual PES 24 - 15 Mins Play,Ha Noi FC (V),Hoang Anh Gia Lai (V),1-0,2,0,1H 3' | 2H 6',o 2.5:6.00 | u 2.5:1.04,o 1.5:6.88 | u 1.5:1.01,FT. O/U,o 1.5:1.78 | u 1.5:1.98,,FT. O/U,o 1.25:1.85 | u 1.25:1.91,o 0.5:2.00 | u 0.5:1.76,0 - 0,1H 3' (1-0) FT. O/U+ o 2:1.89 | u 2:1.87 | 2H 6' (2-0) FT. O/U+ o 2.5:5.35 | u 2.5:1.07
01/08/2026 15:39,SABA VIETNAM V LEAGUE 1 Virtual PES 24 - 15 Mins Play,Hong Linh Ha Tinh (V),Becamex Binh Duong (V),0-2,0,2,1H 3' | 1H 6',o 2.5:5.00 | u 2.5:1.09,o 2.5:6.00 | u 2.5:1.04,FT. O/U,o 2.75:1.77 | u 2.75:1.99,,FT. O/U,o 1.75:1.88 | u 1.75:1.88,o 0.75:1.71 | u 0.75:2.05,0 - 0,1H 3' (0-1) FT. O/U+ o 2.25:1.77 | u 2.25:1.99 | 1H 6' (0-2) FT. O/U+ o 3:2.05 | u 3:1.71
01/08/2026 15:41,SABA INTERNATIONAL FRIENDLY Virtual FC 24 - 16 Mins Play,Poland (V),Morocco (V),1-0,2,0,1H 0' | 2H 3',o 2.5:3.50 | u 2.5:1.16,o 1.5:4.13 | u 1.5:1.08,FT. O/U,o 2:1.71 | u 2:2.05,,FT. O/U,o 2.75:1.80 | u 2.75:1.96,o 1.75:1.94 | u 1.75:1.82,1 - 0,1H 0' (1-0) FT. O/U+ o 3:1.93 | u 3:1.83 | 2H 3' (2-0) FT. O/U+ o 2.5:1.70 | u 2.5:2.06
01/08/2026 15:41,SABA CLUB FRIENDLY Virtual PES 21 - 15 Mins Play,CA Osasuna (V),Manchester United (V),0-1,0,2,1H 3' | 2H 3',o 2.5:5.17 | u 2.5:1.08,o 1.5:6.00 | u 1.5:1.04,FT. O/U,o 2.25:1.88 | u 2.25:1.88,,FT. O/U,o 2.5:1.90 | u 2.5:1.86,o 1:2.06 | u 1:1.70,0 - 0,1H 3' (0-1) FT. O/U+ o 3:1.87 | u 3:1.89 | 2H 3' (0-2) FT. O/U+ o 2.75:2.03 | u 2.75:1.73
01/08/2026 15:42,SABA INTERNATIONAL FRIENDLY Virtual PES 21 - 20 Mins Play,Georgia (V),Cyprus (V),0-0,0,0,,o 0.5:5.00 | u 0.5:1.09,o 0.5:6.56 | u 0.5:1.02,FT. O/U,o 1:1.84 | u 1:1.92,,FT. O/U,o 2:2.03 | u 2:1.73,o 0.75:1.68 | u 0.75:2.09,0 - 0,
01/08/2026 15:48,SABA INTERNATIONAL FRIENDLY Virtual PES 21 - 20 Mins Play,Korea Republic (V),Finland (V),0-0,0,2,2H 5' | 2H 8',o 2.5:5.00 | u 2.5:1.09,o 0.5:6.00 | u 0.5:1.04,FT. O/U,o 1.25:2.12 | u 1.25:1.65,,FT. O/U,o 2:1.85 | u 2:1.91,o 0.75:2.01 | u 0.75:1.75,0 - 0,2H 5' (0-1) FT. O/U+ o 1.5:1.86 | u 1.5:1.90 | 2H 8' (0-2) FT. O/U+ o 2.5:3.94 | u 2.5:1.18
01/08/2026 15:54,SABA CLUB FRIENDLY Virtual PES 21 - 15 Mins Play,Arsenal (V),Lazio (V),1-2,1,2,1H 1' | 1H 3' | 1H 5',o 3.5:4.45 | u 3.5:1.13,o 3.5:5.76 | u 3.5:1.05,FT. O/U,o 4:1.70 | u 4:2.06,,FT. O/U,o 3:1.73 | u 3:2.03,o 1.75:1.67 | u 1.75:2.10,1 - 0,1H 1' (1-0) FT. O/U+ o 3:1.81 | u 3:1.95 | 1H 3' (1-1) FT. O/U+ o 3.75:1.88 | u 3.75:1.88 | 1H 5' (1-2) FT. O/U+ o 4.5:2.02 | u 4.5:1.74
01/08/2026 15:54,SABA CLUB FRIENDLY Virtual PES 21 - 15 Mins Play,Chelsea (V),Everton (V),2-0,3,0,1H 1' | 1H 6' | 2H 2',o 3.5:4.45 | u 3.5:1.13,o 2.5:6.00 | u 2.5:1.04,FT. O/U,o 3.25:1.79 | u 3.25:1.97,,FT. O/U,o 3.5:1.83 | u 3.5:1.93,o 2:1.72 | u 2:2.04,1 - 0,1H 1' (1-0) FT. O/U+ o 3.5:1.77 | u 3.5:1.99 | 1H 6' (2-0) FT. O/U+ o 3.5:1.93 | u 3.5:1.83 | 2H 2' (3-0) FT. O/U+ o 3.75:1.79 | u 3.75:1.97
01/08/2026 15:55,SABA CLUB FRIENDLY Virtual PES 21 - 15 Mins Play,Bayer 04 Leverkusen (V),Bayern Munchen (V),2-1,2,1,1H 4' | 1H 4' | 1H 6',o 3.5:4.33 | u 3.5:1.14,o 3.5:6.26 | u 3.5:1.03,FT. O/U,o 4.25:2.01 | u 4.25:1.75,,FT. O/U,o 2:1.90 | u 2:1.86,o 0.75:1.67 | u 0.75:2.10,0 - 0,1H 4' (0-1) FT. O/U+ o 2.5:1.88 | u 2.5:1.88 | 1H 4' (1-1) FT. O/U+ o 3.5:1.97 | u 3.5:1.79 | 1H 6' (2-1) FT. O/U+ o 4.25:1.91 | u 4.25:1.85
