datetime,league,home_team,away_team,goals,goal_minutes,goal_markets,final_home,final_away,ko_line,ko_over,ko_under
"31/07/2026 10:26","V-Soccer China Super League - 12 mins [V]","Shanghai Port [V]","Zhejiang Pro [V]","1H 3' (1-0) | 1H 15' (1-1) | 1H 31' (2-1) | 2H 63' (3-1) | 2H 73' (3-2)","1H 3' | 1H 15' | 1H 31' | 2H 63' | 2H 73'","1H 3' (1-0) Line 6/6.5 O 1.89 U 1.79 | 1H 15' (1-1) Line 6.5 O 1.81 U 1.87 | 1H 31' (2-1) Line 6.5/7 O 1.91 U 1.77 | 2H 63' (3-1) Line 5.5/6 O 1.66 U 1.07 | 2H 73' (3-2) Line 6/6.5 O 1.88 U 1.80",3,2,5/5.5,1.87,1.81
"31/07/2026 10:27","V-Soccer Copa Libertadores - 12 mins [V]","Talleres [V]","Colo-Colo [V]","1H 15' (1-0) | 2H 52' (2-0) | 2H 58' (2-1) | 2H 62' (3-1) | 2H 64' (3-2) | 2H 88' (4-2)","1H 15' | 2H 52' | 2H 58' | 2H 62' | 2H 64' | 2H 88'","1H 15' (1-0) Line 3.5/4 O 1.76 U 1.93 | 2H 52' (2-0) Line 4/4.5 O 1.78 U 1.90 | 2H 58' (2-1) Line 5/5.5 O 1.09 U 1.64 | 2H 62' (3-1) Line 6/6.5 O 1.05 U 1.67 | 2H 64' (3-2) Line 6.5/7 O 1.75 U 1.94",4,2,4/4.5,1.76,1.93
"31/07/2026 10:27","V-Soccer International Friendly - 12 mins [V]","Croatia [V]","France [V]","1H 12' (0-1) | 1H 23' (0-2) | 1H 35' (0-3) | 1H 40' (1-3) | 2H 55' (1-4) | 2H 62' (1-5) | 2H 69' (2-5) | 2H 82' (3-5)","1H 12' | 1H 23' | 1H 35' | 1H 40' | 2H 55' | 2H 62' | 2H 69' | 2H 82'","1H 12' (0-1) Line 6.5/7 O 1.76 U 1.93 | 1H 23' (0-2) Line 7/7.5 O 1.96 U 1.73 | 1H 35' (0-3) Line 7/7.5 O 1.93 U 1.76 | 1H 40' (1-3) Line 7.5/8 O 1.81 U 1.88 | 2H 55' (1-4) Line 7.5/8 O 1.91 U 1.78 | 2H 62' (1-5) Line 8/8.5 O 1.03 U 1.68 | 2H 69' (2-5) Line 8.5 O 1.74 U 1.95",3,5,6.5,1.81,1.87
"31/07/2026 10:28","V-Soccer England Premier League - 12 mins [V]","Liverpool [V]","Newcastle United [V]","1H 11' (1-0) | 2H 49' (1-1)","1H 11' | 2H 49'","1H 11' (1-0) Line 6.5/7 O 1.81 U 1.87 | 2H 49' (1-1) Line 5/5.5 O 1.09 U 1.64",1,1,6/6.5,1.80,1.88
"31/07/2026 10:29","V-Soccer Germany Bundesliga - 12 mins [V]","Bayern [V]","Vfb Stuttgart [V]","1H 13' (1-0) | 1H 24' (2-0) | 1H 35' (3-0) | 2H 51' (4-0) | 2H 60' (5-0) | 2H 68' (6-0) | 2H 71' (6-1) | 2H 74' (7-1) | 2H 87' (8-1)","1H 13' | 1H 24' | 1H 35' | 2H 51' | 2H 60' | 2H 68' | 2H 71' | 2H 74' | 2H 87'","1H 13' (1-0) Line 5.5 O 1.89 U 1.79 | 1H 24' (2-0) Line 6/6.5 O 1.85 U 1.83 | 1H 35' (3-0) Line 6.5 O 1.85 U 1.83 | 2H 51' (4-0) Line 6.5/7 O 1.76 U 1.93 | 2H 60' (5-0) Line 7/7.5 O 1.92 U 1.77 | 2H 68' (6-0) Line 7.5 O 1.76 U 1.93 | 2H 71' (6-1) Line 8/8.5 O 1.69 U 1.01 | 2H 74' (7-1) Line 9/9.5 O 1.79 U 1.89",8,1,5/5.5,1.97,1.72
"31/07/2026 10:30","V-Soccer France Ligue 1 - 12 mins [V]","OGC Nice [V]","Stade Rennais FC [V]","1H 17' (0-1) | 1H 25' (0-2) | 1H 25' (0-3) | 1H 45' (1-3) | 2H 50' (2-3) | 2H 86' (2-4)","1H 17' | 1H 25' | 1H 25' | 1H 45' | 2H 50' | 2H 86'","1H 17' (0-1) Line 5.5 O 1.79 U 1.89 | 1H 25' (0-2) Line 7/7.5 O 1.00 U 1.70 DEV! | 1H 25' (0-3) Line 7/7.5 O 1.00 U 1.70 | 1H 45' (1-3) Line 7/7.5 O 1.02 U 1.69 | 2H 50' (2-3) Line 7.5/8 O 1.67 U 1.04",2,4,5.5,1.87,1.81
"31/07/2026 10:31","V-Soccer Korea K-League 1 - 12 mins [V]","Gimcheon Sangmu [V]","Suwon Samsung [V]","1H 10' (0-1) | 1H 10' (0-2) | 1H 16' (0-3) | 1H 19' (0-4) | 2H 48' (1-4) | 2H 64' (1-5) | 2H 85' (2-5)","1H 10' | 1H 10' | 1H 16' | 1H 19' | 2H 48' | 2H 64' | 2H 85'","1H 10' (0-1) Line 6.5 O 1.90 U 1.78 | 1H 10' (0-2) Line 7.5 O 1.88 U 1.81 | 1H 16' (0-3) Line 8/8.5 O 1.00 U 1.70 | 1H 19' (0-4) Line 8.5/9 O 1.80 U 1.88 | 2H 48' (1-4) Line 8/8.5 O 1.97 U 1.73 | 2H 64' (1-5) Line 8/8.5 O 1.11 U 1.63",2,5,5.5/6,1.81,1.87
"31/07/2026 10:32","V-Soccer Women’s Nations League - 12 mins [V]","Netherlands W [V]","Sweden W [V]","1H 26' (1-0) | 1H 33' (1-1) | 1H 36' (2-1) | 1H 41' (3-1) | 1H 45' (4-1) | 2H 49' (4-2) | 2H 56' (4-3) | 2H 69' (4-4) | 2H 75' (4-5) | 2H 78' (4-6) | 2H 90' (5-6)","1H 26' | 1H 33' | 1H 36' | 1H 41' | 1H 45' | 2H 49' | 2H 56' | 2H 69' | 2H 75' | 2H 78' | 2H 90'","1H 26' (1-0) Line 7/7.5 O 1.87 U 1.81 | 1H 33' (1-1) Line 7.5 O 1.85 U 1.83 | 1H 36' (2-1) Line 8/8.5 O 1.88 U 1.81 | 1H 41' (3-1) Line 8.5/9 O 1.92 U 1.77 | 1H 45' (4-1) Line 9/9.5 O 1.85 U 1.83 | 2H 49' (4-2) Line 10/10.5 O 1.02 U 1.69 | 2H 56' (4-3) Line 10.5 O 1.90 U 1.79 | 2H 69' (4-4) Line 10/10.5 O 1.98 U 1.72 | 2H 75' (4-5) Line 10.5 O 1.81 U 1.88",5,6,8.5/9,1.76,1.93
"31/07/2026 10:33","V-Soccer Italy Serie A - 12 mins [V]","Roma [V]","Napoli [V]","1H 43' (1-0) | 2H 52' (1-1) | 2H 65' (2-1) | 2H 85' (2-2)","1H 43' | 2H 52' | 2H 65' | 2H 85'","1H 43' (1-0) Line 4.5 O 1.91 U 1.77 | 2H 52' (1-1) Line 4.5/5 O 1.69 U 1.02 | 2H 65' (2-1) Line 4.5/5 O 1.72 U 1.98",2,2,6.5,1.84,1.84
"31/07/2026 10:34","V-Soccer Argentina Liga Profesional - 12 mins [V]","Racing Club [V]","Boca Juniors [V]","1H 15' (1-0) | 1H 25' (2-0) | 1H 43' (3-0) | 2H 45' (4-0) | 2H 65' (4-1) | 2H 75' (4-2)","1H 15' | 1H 25' | 1H 43' | 2H 45' | 2H 65' | 2H 75'","1H 15' (1-0) Line 6.5 O 1.79 U 1.89 | 1H 25' (2-0) Line 6.5/7 O 1.81 U 1.87 | 1H 43' (3-0) Line 6/6.5 O 1.81 U 1.87 | 2H 45' (4-0) Line 7/7.5 O 1.94 U 1.75 | 2H 65' (4-1) Line 6.5/7 O 1.84 U 1.84",4,2,6/6.5,1.81,1.87
